PersonID,FatherID,MotherID,Outside community,Deceased,Sex
2,2010,2007,FALSE,FALSE,Female
6,1,2,FALSE,FALSE,Female
8,60,2013,FALSE,FALSE,Female
10,1,8,FALSE,FALSE,Female
11,2022,2019,FALSE,FALSE,Female
16,21,11,FALSE,FALSE,Female
17,21,11,FALSE,FALSE,Female
18,21,11,FALSE,TRUE,Female
20,21,11,FALSE,FALSE,Female
22,2028,2025,FALSE,TRUE,Female
23,21,22,FALSE,FALSE,Female
24,21,22,FALSE,FALSE,Female
26,2034,2031,FALSE,FALSE,Female
27,21,26,FALSE,FALSE,Female
28,21,26,FALSE,FALSE,Female
29,2002,2003,FALSE,FALSE,Female
34,30,81,FALSE,FALSE,Female
37,2124,2423,TRUE,FALSE,Female
39,642,722,FALSE,FALSE,Female
41,40,39,FALSE,FALSE,Female
42,40,39,FALSE,FALSE,Female
43,2004,29,FALSE,FALSE,Female
45,38,43,FALSE,FALSE,Female
46,44,45,FALSE,FALSE,Female
47,44,45,FALSE,FALSE,Female
48,38,43,FALSE,FALSE,Female
49,38,43,FALSE,FALSE,Female
50,38,43,FALSE,FALSE,Female
51,38,43,FALSE,FALSE,Female
53,2422,61,FALSE,FALSE,Female
54,2014,2048,FALSE,FALSE,Female
59,60,54,FALSE,FALSE,Female
61,2421,43,TRUE,FALSE,Female
63,2004,29,FALSE,FALSE,Female
64,62,63,TRUE,FALSE,Female
67,62,63,FALSE,FALSE,Female
69,62,63,FALSE,FALSE,Female
71,62,63,FALSE,FALSE,Female
72,62,63,FALSE,FALSE,Female
73,2057,2058,FALSE,FALSE,Female
74,2057,2058,TRUE,FALSE,Female
75,2057,2058,FALSE,FALSE,Female
77,682,73,FALSE,FALSE,Female
79,2064,2061,FALSE,FALSE,Female
80,30,81,FALSE,FALSE,Female
81,2070,2067,FALSE,FALSE,Female
82,2076,2073,FALSE,FALSE,Female
84,405,760,FALSE,TRUE,Female
85,83,82,FALSE,FALSE,Female
86,83,82,FALSE,FALSE,Female
90,83,82,FALSE,FALSE,Female
91,83,82,FALSE,FALSE,Female
94,405,760,FALSE,TRUE,Female
95,2091,648,FALSE,FALSE,Female
96,83,95,FALSE,FALSE,Female
98,83,95,FALSE,FALSE,Female
100,83,82,FALSE,TRUE,Female
102,2102,2099,FALSE,FALSE,Female
103,83,102,FALSE,TRUE,Female
104,83,102,FALSE,FALSE,Female
105,83,102,FALSE,FALSE,Female
106,83,102,FALSE,FALSE,Female
107,83,102,FALSE,FALSE,Female
108,83,102,FALSE,FALSE,Female
109,83,102,FALSE,FALSE,Female
112,2004,29,FALSE,FALSE,Female
113,111,112,FALSE,FALSE,Female
114,111,112,FALSE,FALSE,Female
115,111,112,FALSE,FALSE,Female
117,111,112,FALSE,FALSE,Female
119,111,112,FALSE,FALSE,Female
122,2121,2118,FALSE,FALSE,Female
124,666,2362,TRUE,FALSE,Female
126,44,676,FALSE,FALSE,Female
133,9999,9999,TRUE,FALSE,Female
134,9999,9999,TRUE,FALSE,Female
135,9999,9999,TRUE,FALSE,Female
137,267,2136,FALSE,FALSE,Female
140,136,137,FALSE,FALSE,Female
142,2151,2148,FALSE,FALSE,Female
